ACCELEROMETER X (m/s²) ,ACCELEROMETER Y (m/s²) ,ACCELEROMETER Z (m/s²) ,GRAVITY X (m/s²) ,GRAVITY Y (m/s²) ,GRAVITY Z (m/s²) ,LINEAR ACCELERATION X (m/s²) ,LINEAR ACCELERATION Y (m/s²) ,LINEAR ACCELERATION Z (m/s²) ,GYROSCOPE X (rad/s) ,GYROSCOPE Y (rad/s) ,GYROSCOPE Z (rad/s) ,Activity
1.6986                 ,1.3283                 ,7.0998                 ,1.3923           ,2.1992           ,9.4549           ,0.239                        ,-0.876                       ,-1.7939                      ,0.6817              ,-0.035              ,0.3251              ,       0
-0.3003                ,2.3495                 ,7.4195                 ,-0.94            ,2.955            ,9.3035           ,-0.807                       ,4.00E-04                     ,1.339                        ,-0.0641             ,-0.5154             ,0.2862              ,       0
0.0323                 ,2.6892                 ,10.9866                ,-0.5112          ,4.3556           ,8.7714           ,0.8482                       ,-0.2409                      ,0.9526                       ,-0.0594             ,0.033               ,0.4493              ,       0
1.1324                 ,4.1749                 ,10.4611                ,-0.302           ,4.2144           ,8.8497           ,-0.5431                      ,0.3624                       ,0.2033                       ,0.4714              ,-0.4152             ,0.2851              ,       0
-2.782                 ,4.5281                 ,6.5145                 ,-0.901           ,4.0817           ,8.8712           ,-1.0443                      ,-1.0017                      ,-1.8377                      ,0.5447              ,0.3961              ,0.4867              ,       0
-3.5539                ,4.3424                 ,5.4984                 ,-0.7797          ,2.3709           ,9.4837           ,1.8745                       ,0.3107                       ,0.5884                       ,-1.5968             ,0.3744              ,-0.5658             ,       0
-4.0053                ,2.7                    ,5.9806                 ,-2.4123          ,3.9951           ,8.625            ,0.1947                       ,0.7335                       ,1.6995                       ,-0.6896             ,-0.8227             ,-0.5597             ,       0
0.8656                 ,2.3076                 ,5.8274                 ,-1.2342          ,-1.2336          ,9.6501           ,4.0066                       ,-2.6995                      ,2.0328                       ,1.59                ,-0.97               ,-0.9603             ,       0
-0.0048                ,2.8642                 ,5.5487                 ,-0.0501          ,4.1052           ,8.9059           ,0.7992                       ,-2.2292                      ,1.8825                       ,0.5626              ,0.5056              ,-0.0712             ,       0
1.3038                 ,3.6063                 ,10.235                 ,-0.3992          ,3.8879           ,8.9942           ,1.2123                       ,-0.3777                      ,2.1065                       ,-0.4119             ,0.1829              ,-0.087              ,       0
-2.5531                ,6.7244                 ,6.8833                 ,-1.1187          ,5.549            ,8.0079           ,0.0877                       ,-0.1558                      ,0.8847                       ,-0.1862             ,-1.0303             ,-0.2075             ,       0
-1.6496                ,5.1506                 ,9.5851                 ,-3.0597          ,4.313            ,8.2587           ,1.9732                       ,0.2956                       ,3.9843                       ,0.2689              ,0.6192              ,-0.0843             ,       0
-2.8908                ,2.1829                 ,12.8303                ,-2.2228          ,1.952            ,9.3498           ,-0.4595                      ,2.0043                       ,1.9746                       ,-0.9832             ,-0.4998             ,0.3002              ,       0
